0.,-32.00924227688853
0.05,-29.767821338936905
0.1,-28.162434964341653
0.15,-27.174910859482836
0.2,-26.743361590281328
0.25,-26.779060495602625
0.3,-27.17892551789578
0.35,-27.836059526192518
0.4,-28.648224631817733
0.45,-29.524138897140745
0.5,-30.387629489295797
0.55,-31.179812298313614
0.6,-31.859568999730847
0.65,-32.40265449015703
0.7,-32.799793228067195
0.75,-33.05411781566428
0.8,-33.1782739906247
0.85,-33.191470230239474
0.9,-33.11669427041137
0.95,-32.97825912057709
1.,-32.79978268911366
1.05,-32.602651819453186
1.1,-32.40497606758323
1.15,-32.221000481379434
1.2,-32.06092052149946
1.25,-31.931025814945457
1.3,-31.834091748589962
1.35,-31.76993765392983
1.4,-31.736075927032672
1.45,-31.72838621260345
1.5,-31.741761159165083
1.55,-31.77068378334173
1.6,-31.809709952446724
1.65,-31.853841958311435
1.7,-31.898789939442917
1.75,-31.9411266053214
1.8,-31.97834715461919
1.85,-32.00885048490011
1.9,-32.0318599449537
1.95,-32.04730226996613
2.,-32.05566231584568
2.05,-32.05782914897685
2.1,-32.05494632112786
2.15,-32.04827610389453
2.2,-32.03908436148435
2.25,-32.02854983421967
2.3,-32.01769905445892
2.35,-32.00736602710808
2.4,-31.998174228387064
2.45,-31.990537411731925
2.5,-31.984675124142363
2.55,-31.98063866866276
2.6,-31.97834342111253
2.65,-31.977603836257707
2.7,-31.9781680751368
2.75,-31.97974987225055
2.8,-31.98205597035202
2.85,-31.984808126328275
2.9,-31.987759293108034
2.95,-31.990704082743893
3.,-31.99348400089292
3.05,-31.995988210149054
3.1,-31.99815073534528
3.15,-31.99994508093267
3.2,-32.00137720601422
3.25,-32.00247771584911
3.3,-32.00329399922611
3.35,-32.00388288744777
3.4,-32.00430424895401
3.45,-32.00461577712646
3.5,-32.00486908760703
3.55,-32.00510712233662
3.6,-32.00536276423953
3.65,-32.00565850015356
3.7,-32.00600692918558
3.75,-32.006411896479406
3.8,-32.00687003465934
3.85,-32.00737251261566
3.9,-32.00790681933751
3.95,-32.008458444888085
4.,-32.00901235753663
4.05,-32.00955421232964
4.1,-32.01007125954713
4.15,-32.010552949842776
4.2,-32.01099125541094
4.25,-32.011380742890765
4.3,-32.01171844405621
4.35,-32.012003575199046
4.4,-32.01223715631082
4.45,-32.01242157768547
4.5,-32.012560155429085
4.55,-32.01265670957453
4.6,-32.01271518996144
4.65,-32.01273936651885
4.7,-32.012732592679505
4.75,-32.01269764378975
4.8,-32.012636626819884
4.85,-32.0125509535418
4.9,-32.012441366613785
4.95,-32.01230800658784
5.,-32.012150507556974
5.05,-32.01196810977026
5.1,-32.01175977882502
5.15,-32.0115243227679
5.2,-32.01126050038371
5.25,-32.010967115940716
5.3,-32.01064309754502
5.35,-32.01028755792731
5.4,-32.009899837871906
5.45,-32.009479533566335
5.5,-32.00902650989427
5.55,-32.00854090213433
5.6,-32.00802310869823
5.65,-32.00747377749176
5.7,-32.0068937882622
5.75,-32.006284232961065
5.8,-32.005646395749295
5.85,-32.004981733847345
5.9,-32.00429186002101
5.95,-32.00357852712109
6.,-32.00284361478008
6.05,-32.00208911812153
6.1,-32.00131713816072
6.15,-32.000529873466206
6.2,-31.999729612603087
6.25,-31.9989187268818
6.3,-31.998099662978117
6.35,-31.997274935060513
6.4,-31.996447116148172
6.45,-31.9956188285169
6.5,-31.99479273306338
6.55,-31.993971517623386
6.6,-31.993157884313156
6.65,-31.992354536021992
6.7,-31.991564162227696
6.75,-31.99078942433455
6.8,-31.990032940748105
6.85,-31.989297271903485
6.9,-31.988584905456975
6.95,-31.987898241836586
7.,-31.9872395803287
7.05,-31.986611105856557
7.1,-31.98601487658439
7.15,-31.98545281245962
7.2,-31.984926684785368
7.25,-31.984438106898015
7.3,-31.98398852600846
7.35,-31.983579216252654
7.4,-31.98321127298521
7.45,-31.982885608339902
7.5,-31.982602948071882
7.55,-31.982363829688023
7.6,-31.98216860186353
7.65,-31.982017425134615
7.7,-31.981910273848236
7.75,-31.9818469393407
7.8,-31.981827034307113
7.85,-31.98184999831367
7.9,-31.98191510439426
7.95,-31.9820214666627
8.,-31.982168048861848
8.05,-31.98235367376139
8.1,-31.982577033307685
8.15,-31.982836699421576
8.2,-31.98313113533427
8.25,-31.98345870734682
8.3,-31.983817696896274
8.35,-31.984206312810493
8.4,-31.98462270363466
8.45,-31.985064969915083
8.5,-31.985531176330298
8.55,-31.986019363565205
8.6,-31.98652755983133
8.65,-31.987053791944565
8.7,-31.987596095881166
8.75,-31.98815252674281
8.8,-31.988721168072082
8.85,-31.989300140470725
8.9,-31.989887609483795
8.95,-31.990481792723827
9.,-31.99108096621952
9.05,-31.991683469983617
9.1,-31.992287712804007
9.15,-31.99289217627096
9.2,-31.993495418061183
9.25,-31.994096074506608
9.3,-31.994692862481813
9.35,-31.995284580649237
9.4,-31.99587011010557
9.45,-31.99644841447591
9.5,-31.99701853950458
9.55,-31.997579612193086
9.6,-31.998130839536053
9.65,-31.998671506906014
9.7,-31.99920097613679
9.75,-31.999718683353898
9.8,-32.00022413659801
9.85,-32.00071691328518
9.9,-32.001196657544355
9.95,-32.00166307746942
10.,-32.002115942319456
10.05,-32.00255507969732
10.1,-32.00298037273254
10.15,-32.00339175729102
10.2,-32.00378921923014
10.25,-32.004172791714005
10.3,-32.004542552600434
10.35,-32.00489862190764
10.4,-32.00524115936558
10.45,-32.00557036205417
10.5,-32.00588646212798
10.55,-32.00618972462472
10.6,-32.00648044535304
10.65,-32.00675894885351
10.7,-32.00702558642522
10.75,-32.00728073420972
